shape_id,shape_pt_sequence,shape_pt_lat,shape_dist_traveled,shape_pt_lon
ngv3_1,11,14.0749167,0.03,100.6015663
ngv3_1,12,14.074883,0.03,100.6015464
ngv3_1,13,14.0748443,0.03,100.6015423
ngv3_1,14,14.0748022,0.03,100.6015578
ngv3_1,15,14.0747719,0.03,100.6015917
ngv3_1,16,14.0747602,0.03,100.6016361
ngv3_1,17,14.0746108,0.05,100.6016317
ngv3_1,18,14.0736948,0.15,100.6016145
ngv3_1,19,14.0730179,0.23,100.6016199
ngv3_1,20,14.0729671,0.24,100.6016216
ngv3_1,21,14.0729449,0.24,100.6016216
ngv3_1,22,14.0728819,0.25,100.6016229
ngv3_1,23,14.0720874,0.34,100.6016423
ngv3_1,24,14.0720451,0.34,100.6016458
ngv3_1,25,14.0720163,0.34,100.6016458
ngv3_1,26,14.0714312,0.41,100.6016533
ngv3_1,27,14.070867,0.47,100.60165
ngv3_1,28,14.0704688,0.51,100.6016545
ngv3_1,29,14.0704111,0.52,100.6016562
ngv3_1,30,14.0703504,0.53,100.6016565
ngv3_1,31,14.0702987,0.54,100.6016564
ngv3_1,32,14.0702957,0.54,100.6016564
ngv3_1,33,14.0702306,0.55,100.6016591
ngv3_1,34,14.0695159,0.63,100.6016653
ngv3_1,35,14.0693137,0.65,100.6016645
ngv3_1,36,14.0691864,0.66,100.6016643
ngv3_1,37,14.069073,0.67,100.6016641
ngv3_1,38,14.0680525,0.78,100.6016634
ngv3_1,39,14.0679102,0.8,100.6016641
ngv3_1,40,14.0675755,0.84,100.6016696
ngv3_1,41,14.0675252,0.85,100.6016871
ngv3_1,42,14.0674912,0.86,100.6017203
ngv3_1,43,14.0674823,0.87,100.6018139
ngv3_1,44,14.0674801,0.97,100.6027262
ngv3_1,45,14.067473,1.04,100.6033773
ngv3_1,46,14.0674725,1.05,100.6034252
ngv3_1,47,14.0674739,1.07,100.6035662
ngv3_1,48,14.0674574,1.21,100.604874
ngv3_1,49,14.0674564,1.22,100.6049522
ngv3_1,50,14.0674543,1.24,100.6051253
ngv3_1,51,14.0674554,1.25,100.6052188
ngv3_1,52,14.0673216,1.26,100.60521
ngv3_1,53,14.0672895,1.26,100.6052101
ngv3_1,54,14.0667327,1.32,100.6052113
ngv3_1,55,14.0665444,1.34,100.6052045
ngv3_1,56,14.0661465,1.38,100.6051903
ngv3_1,57,14.0661458,1.39,100.6050922
ngv3_1,58,14.0661437,1.39,100.6050579
ngv3_1,59,14.0661423,1.39,100.6050258
ngv3_1,60,14.066142,1.41,100.6048422
ngv3_1,61,14.066142,1.42,100.6047492
ngv3_1,62,14.0661416,1.44,100.6045363
ngv3_1,63,14.0658191,1.48,100.6045384
ngv3_1,64,14.065745,1.51,100.6042468
ngv3_1,65,14.0657448,1.53,100.6041053
ngv3_1,66,14.0657426,1.66,100.6028543
ngv3_1,67,14.0659538,1.84,100.6012079
ngv3_1,68,14.0659617,1.88,100.6007927
ngv3_1,69,14.0659632,1.91,100.600545
ngv3_1,70,14.0659712,2.05,100.5992482
ngv3_1,71,14.0659697,2.06,100.5991687
ngv1b_0,1,14.067373826848046,0.0,100.60864090919495
ngv1b_0,2,14.06749350828844,0.74,100.60173958539961
ngv1b_0,3,14.06757936667448,0.75,100.60165643692017
ngv1b_0,4,14.070475116994718,1.07,100.60164839029312
ngv1b_0,5,14.070451701371026,1.3900000000000001,100.59872210025787
ngv1b_0,6,14.070534956911022,1.4000000000000001,100.59862554073334
ngv1b_0,7,14.071159372494483,1.4700000000000002,100.59859603643417
ngv1b_0,8,14.071232220868113,1.4800000000000002,100.5985477566719
ngv1b_0,9,14.071190593228879,1.6100000000000003,100.59737026691435
ngv1b_0,10,14.071544427920733,1.6500000000000004,100.59731394052505
ngv1b_0,11,14.072967566333412,1.8200000000000003,100.59675604104996
ngv1b_0,12,14.07626650758665,2.1900000000000004,100.59664338827132
ngv1b_0,13,14.076315939309536,2.2600000000000002,100.59602916240692
ngv1b_0,14,14.076466836081643,2.31,100.59562146663666
ngv1b_0,15,14.076820662604828,2.37,100.59518963098526
ngv1b_0,16,14.077249936695123,2.42,100.59495359659194
ngv1b_0,17,14.077330588100875,2.4299999999999997,100.59493750333786
ngv1b_0,18,14.077395629536394,2.4399999999999995,100.59481680393219
ngv1b_0,19,14.077512704073676,2.4599999999999995,100.59472292661667
ngv1b_0,20,14.077679209978907,2.4799999999999995,100.59466123580933
ngv1b_0,21,14.07782230089428,2.4999999999999996,100.59467732906342
ngv1b_0,22,14.077905553749265,2.5099999999999993,100.59475243091582
ngv1b_0,23,14.077902952098002,2.519999999999999,100.59488117694855
ngv1b_0,24,14.077780674455425,2.539999999999999,100.59503406286238
ngv1b_0,25,14.07762717689657,2.559999999999999,100.59509038925171
ngv1b_0,26,14.0774606709534,2.579999999999999,100.59510111808777
ngv1b_0,27,14.077364409649654,2.589999999999999,100.59503406286238
ngv1b_0,28,14.077260343329716,2.5999999999999988,100.59506893157959
ngv1b_0,29,14.07697936402913,2.6299999999999986,100.59519499540328
ngv1b_0,30,14.076737409354537,2.6699999999999986,100.59540688991547
ngv1b_0,31,14.076560496096992,2.6999999999999984,100.59564292430878
ngv1b_0,32,14.076414802723207,2.7499999999999982,100.59603989124297
ngv1b_0,33,14.076352362677447,2.819999999999998,100.59665411710739
ngv1b_0,34,14.076289922614613,2.949999999999998,100.5978611111641
ngv1b_0,35,14.076336752663334,2.9599999999999977,100.59791475534438
ngv1b_0,36,14.07633154932506,2.9699999999999975,100.59797912836075
ngv1b_0,37,14.07626650758665,2.9799999999999973,100.59805691242218
ngv1b_0,38,14.076063577243813,3.3699999999999974,100.60168057680129
ngv1b_0,39,14.075977722044522,3.3799999999999972,100.60162961483002
ngv1b_0,40,14.074931847026846,3.4999999999999973,100.60161888599394
ngv1b_0,41,14.074911033545089,3.509999999999997,100.60168057680129
ngv1b_0,42,14.074848593088438,3.519999999999997,100.60171276330948
ngv1b_0,43,14.074780949241122,3.5299999999999967,100.60168862342834
ngv1b_0,44,14.074749728997155,3.5399999999999965,100.60161352157593
ngv1b_0,45,14.0702409606499,4.0399999999999965,100.60164034366606
ngv1b_0,46,14.070256571080359,4.319999999999997,100.6042554974556
ngv1b_0,47,14.069184652379773,4.439999999999997,100.6042581796646
ngv1b_0,48,14.069096192845036,4.449999999999997,100.60430645942688
ngv1b_0,49,14.06905976832079,4.459999999999996,100.60438424348831
ngv1b_0,50,14.06905976832079,4.559999999999996,100.60526937246323
ngv1b_0,51,14.068999928018354,4.579999999999996,100.60539543628693
ngv1b_0,52,14.068927078933374,4.589999999999995,100.60542225837708
ngv1b_0,53,14.067454481738668,4.749999999999996,100.60540080070496
ngv1b_0,54,14.067394641016106,5.2099999999999955,100.60967624187468
ngv1b_0,55,14.067376428619152,5.319999999999996,100.60866504907608
ngv1b_1,1,14.067376428619152,0.0,100.60866504907608
ngv1b_1,2,14.067394641016106,0.11,100.60967624187468
ngv1b_1,3,14.067454481738668,0.57,100.60540080070496
ngv1b_1,4,14.068927078933374,0.73,100.60542225837708
ngv1b_1,5,14.068999928018354,0.74,100.60539543628693
ngv1b_1,6,14.06905976832079,0.76,100.60526937246323
ngv1b_1,7,14.06905976832079,0.86,100.60438424348831
ngv1b_1,8,14.069096192845036,0.87,100.60430645942688
ngv1b_1,9,14.069184652379773,0.88,100.6042581796646
ngv1b_1,10,14.070256571080359,1.0,100.6042554974556
ngv1b_1,11,14.0702409606499,1.28,100.60164034366606
ngv1b_1,12,14.074749728997155,1.78,100.60161352157593
ngv1b_1,13,14.074780949241122,1.79,100.60168862342834
ngv1b_1,14,14.074848593088438,1.8,100.60171276330948
ngv1b_1,15,14.074911033545089,1.81,100.60168057680129
ngv1b_1,16,14.074931847026846,1.82,100.60161888599394
